st_show_name;station;arr_dir;arr_graph;arrive;arrive18;arrive6;strip;strip18;strip6;dep_dir;dep_graph;depart;depart18;depart6;form;form18;form6
ХАБАРОВСК II;ХАБАРОВСК II;;145;134;60;74;71;45;26;;147;121;66;55;81;41;40
ОБЛУЧЬЕ;ХАБАРОВСК I;чет;62;70;30;40;20;20;;неч;64;58;29;29;48;24;24
БИКИН;КРУГЛИКОВО;неч;75;60;28;32;47;23;24;чет;75;60;36;24;32;17;15
ВОЛОЧАЕВКА II;#####;неч;8;4;2;2;4;2;2;чет;8;3;1;2;1;;
АРХАРА;АРХАРА;;150;95;33;62;;;;;150;95;33;62;;;
ОБЛУЧЬЕ;ОБЛУЧЬЕ;неч;75;70;30;40;;;;чет;75;25;3;22;;;
БЕЛОГОРСК;БУРЕЯ;чет;75;25;3;22;;;;неч;75;70;30;40;;;
ИЗВЕСТКОВАЯ;ИЗВЕСТКОВАЯ;;18;5;2;3;2;1;1;;19;6;3;3;3;1;2
НОВЫЙ УРГАЛ;КУЛЬДУР;неч;13;3;1;2;;;;чет;14;3;1;2;2;1;1
ОБЛУЧЬЕ;ОБЛУЧЬЕ;чет;1;;;;;;;неч;1;1;1;;;;
ХАБАРОВСК II;БИРА;неч;4;2;1;1;2;1;1;чет;4;2;1;1;1;;
ВЛАДИВОСТОК;ВЛАДИВОСТОК;;23;8;4;4;8;4;4;;23;6;3;3;6;3;3
НАХОДКА-ВОСТОЧНАЯ;НАХОДКА-ВОСТОЧНАЯ;;44;24;12;12;24;12;12;;44;22;11;11;22;11;11
УССУРИЙСК;УССУРИЙСК;;167;128;69;59;16;8;8;;165;127;62;65;17;9;8
СИБИРЦЕВО;ДУБИНИНСКИЙ;чет;75;58;34;24;6;3;3;неч;75;58;27;31;6;3;3
УГОЛЬНАЯ;ВОЗДВИЖЕНСКИЙ;неч;25;18;9;9;4;2;2;чет;25;18;9;9;4;2;2
ГВОЗДЕВО;####;неч;9;10;5;5;2;1;1;чет;7;10;5;5;4;2;2
ГРОДЕКОВО;####;чет;12;2;1;1;2;1;1;неч;12;1;1;;1;1;
УГЛОВАЯ;БАРАНОВСКИЙ;неч;46;40;20;20;2;1;1;чет;46;40;20;20;2;1;1
СИБИРЦЕВО;СИБИРЦЕВО;;154;120;63;57;10;5;5;;160;120;63;57;8;4;4
СПАССК-ДАЛЬНИЙ;СПАССК-ДАЛЬНИЙ;чет;72;58;34;24;2;1;1;неч;72;58;27;31;2;1;1
УССУРИЙСК;ДУБИНИНСКИЙ;неч;67;58;27;31;4;2;2;чет;67;58;34;24;2;1;1
НОВОКАЧАЛИНСК;ЛУЧКИ;чет;1;2;1;1;2;1;1;неч;1;2;1;1;2;1;1
НОВОЧУГУЕВКА;АРСЕНЬЕВ;неч;2;2;1;1;2;1;1;чет;2;2;1;1;2;1;1
СМОЛЯНИНОВО;СМОЛЯНИНОВО;;92;80;40;40;1;;;;92;80;40;40;2;;
УГЛОВАЯ;ШКОТОВО;чет;46;40;20;20;1;;;неч;46;40;20;20;1;;
ПАРТИЗАНСК;НОВОНЕЖИНО;неч;46;40;20;20;;;;чет;46;40;20;20;1;;
РУЖИНО;РУЖИНО;;;120;64;56;4;2;2;;;116;61;55;4;2;2
ГУБЕРОВО;БЛОКПОСТ 1571 КМ;чет;;60;36;24;2;1;1;неч;;58;27;31;2;1;1
СПАССК-ДАЛЬНИЙ;ШМАКОВКА;неч;;60;28;32;2;1;1;чет;;58;34;24;2;1;1
ГРОДЕКОВО;ГРОДЕКОВО;;;19;9;10;15;6;9;;;19;9;10;15;7;8
ГРОДЕКОВО(КИТ);РАССЫПНАЯ ПАДЬ;чет;;13;6;7;10;4;6;неч;;13;6;7;10;4;6
