st_show_name;station;arr_dir;arr_graph;arrive;arrive18;arrive6;strip;strip18;strip6;dep_dir;dep_graph;depart;depart18;depart6;form;form18;form6
САЯНСКАЯ;САЯНСКАЯ;;;54;28;26;14;7;7;;;54;28;26;14;7;7
КОШУРНИКОВО;ЩЕТИНКИНО;чет;19;24;12;12;4;2;2;неч;19;24;12;12;6;3;3
УЯР;КИЛЬЧУГ;неч;11;8;4;4;2;1;1;чет;9;8;4;4;4;2;2
ТАЙШЕТ;ИРБЕЙСКАЯ;неч;25;22;12;10;8;4;4;чет;25;22;12;10;4;2;2
АБАКАН;АБАКАН;;;52;26;26;12;6;6;;;52;26;26;10;5;5
ТАШЕБА;ТАШЕБА;чет;33;26;13;13;6;3;3;неч;32;26;13;13;6;3;3
МИНУСИНСК;ПОДСИНИЙ;неч;20;26;13;13;6;3;3;чет;21;26;13;13;4;2;2
КРАСНОЯРСК-ВОСТОЧНЫЙ;КРАСНОЯРСК-ВОСТОЧНЫЙ;;;122;51;71;46;21;25;;;128;54;74;42;19;23
БАЗАИХА;БАЗАИХА;чет;23;8;3;5;8;3;5;неч;23;8;3;5;4;1;3
КРАСНОЯРСК-СЕВЕРНЫЙ;КРАСНОЯРСК-СЕВЕРНЫЙ;чет;59;62;27;35;15;7;8;неч;68;54;21;33;23;11;12
УЯР;ЗЫКОВО;неч;58;52;21;31;23;11;12;чет;52;66;30;36;15;7;8
АЧИНСК I;АЧИНСК I;;;124;52;72;16;8;8;;;124;52;72;12;6;6
БОГОТОЛ;ЗЕРЦАЛЫ;чет;59;62;27;35;4;2;2;неч;53;54;21;33;4;2;2
АЧИНСК II;АЧИНСК II;чет;57;4;2;2;4;2;2;неч;49;4;2;2;2;1;1
ЧЕРНОРЕЧЕНСКАЯ;ЧЕРНОРЕЧЕНСКАЯ;неч;59;54;21;33;4;2;2;чет;68;62;27;35;4;2;2
ЛЕСОСИБИРСК;ТИМОНИНО;неч;23;4;2;2;4;2;2;чет;22;4;2;2;2;1;1
МАРИИНСК;МАРИИНСК;;;116;48;68;8;4;4;;;116;48;68;7;3;4
ТАЙГА;ТАЙГА;чет;51;62;27;35;4;2;2;неч;51;54;21;33;4;2;2
БОГОТОЛ;БОГОТОЛ;неч;53;54;21;33;4;2;2;чет;59;62;27;35;3;1;2
БОГОТОЛ;БОГОТОЛ;;;116;48;68;7;3;4;;;116;48;68;7;4;3
МАРИИНСК;МАРИИНСК;чет;59;62;27;35;3;1;2;неч;53;54;21;33;3;2;1
АЧИНСК I;ЗЕРЦАЛЫ;неч;53;54;21;33;4;2;2;чет;59;62;27;35;4;2;2
ИЛАНСКАЯ;ИЛАНСКАЯ;;;116;50;66;6;2;4;;;118;51;67;7;4;3
УЯР;ЗАОЗЕРНАЯ;чет;61;66;30;36;3;1;2;неч;61;52;21;31;3;2;1
ЮРТЫ;РЕШОТЫ;неч;55;50;20;30;3;1;2;чет;55;66;30;36;4;2;2
РЕШОТЫ;РЕШОТЫ;;;;;;;;;;;;;;;;
ИЛАНСКАЯ;ИЛАНСКАЯ;чет;;;;;;;;неч;;;;;;;
ЮРТЫ;КЛЮЧИ;неч;;;;;;;;чет;;;;;;;
НОВОБИРЮСИНСКАЯ;НОВОБИРЮСИНСКАЯ;неч;;;;;;;;чет;;;;;;;
