region,reg_name_str
2002119286.0,['АЧИНСК I' 'ЛЕСОСИБИРСК']
2002119288.0,['БОРЗЯ' 'ЗАБАЙКАЛЬСК']
2002119292.0,['ГРОДЕКОВО (КИТАЙ)' 'ХАСАН']
2002119294.0,['КАРЫМСКАЯ' 'ХАБАРОВСК II']
2002119296.0,['КОМСОМОЛЬСК-НА-АМУРЕ' 'СОВЕТСКАЯ ГАВАНЬ- ГОРОД']
2002119299.0,['БОРЗЯ' 'МАРИИНСК']
2002119301.0,['МЕЖДУРЕЧЕНСК' 'ТАКСИМО']
2002119303.0,['ТАКСИМО' 'ТЫНДА']
2002119305.0,['ИЗВЕСТКОВАЯ' 'НОВЫЙ УРГАЛ']
2002119308.0,['КАРАБУЛА' 'РЕШОТЫ']
2002119310.0,['НОВОКАЧАЛИНСК' 'НОВОЧУГУЕВКА']
2002119312.0,['НАХОДКА-ВОСТОЧНАЯ' 'СМОЛЯНИНОВО']
2002119317.0,['СКОВОРОДИНО' 'ТЫНДА']
2002119318.0,['НАУШКИ' 'УЛАН-УДЭ']
2002119320.0,['СМОЛЯНИНОВО' 'ХАБАРОВСК II']
