region;reg_name_str;ser_type
2002119286;['АЧИНСК I', 'ЛЕСОСИБИРСК', 'НОВАЯ ЕЛОВКА'];Тепловоз
2002119287;['БЕЛОГОРСК', 'БЛАГОВЕЩЕНСК'];Тепловоз
2002119288;['БОРЗЯ', 'ЗАБАЙКАЛЬСК', 'КРАСНОКАМЕНСК', 'ПРИАРГУНСК', 'СОЛОВЬЕВСК'];Тепловоз
2002119292;['БАРАНОВСКИЙ', 'БЛЮХЕР', 'ГРОДЕКОВО (КИТАЙ)', 'ДУБИНИНСКИЙ', 'КАМЫШОВАЯ', 'ПОСЬЕТ', 'ХАСАН'];Тепловоз
2002119294;['БЕЛОГОРСК', 'БУРЕЯ', 'ВОЛОЧАЕВКА II', 'ГОРЕЛЫЙ', 'ЗАВИТАЯ', 'ИЗВЕСТКОВАЯ', 'КАРЫМСКАЯ', 'ЛЕНИНСК', 'ПОКРОВКА-ПРИСТАНЬ', 'РЕЙНОВО', 'СРЕТЕНСК', 'ТАРСКАЯ', 'ХАБАРОВСК II'];Электровоз
2002119296;['ВОЛОЧАЕВКА II', 'ДЗЕМГИ', 'КОМСОМОЛЬСК-НА-АМУРЕ', 'СОВЕТСКАЯ ГАВАНЬ- ГОРОД'];Тепловоз
2002119299;['АЧИНСК I', 'БАЙКАЛ', 'БОРЗЯ', 'ГОЛУБИЧНАЯ', 'ДИВНОГОРСК', 'КИТОЙ-КОМБИНАТСКАЯ', 'КРАСНАЯ СОПКА', 'МАКАРЬЕВО', 'МАРИИНСК', 'НАУШКИ', 'РЕШОТЫ', 'ТАЙШЕТ', 'ТАРСКАЯ', 'УЯР'];Электровоз
2002119301;['АСКИЗ', 'БОЛЬШАЯ ИРБА', 'КАНЗЫБА', 'МЕЖДУРЕЧЕНСК', 'ТАЙШЕТ', 'ТАШЕБА', 'ТЕЯ', 'ТИГЕЙ', 'УЯР', 'ХОНЫХ'];Электровоз
2002119303;['ТАКСИМО', 'ХАНИ'];Тепловоз
2002119305;['ИЗВЕСТКОВАЯ', 'НОВЫЙ УРГАЛ', 'УРГАЛ I', 'ЧЕГДОМЫН'];Тепловоз
2002119308;['КАРАБУЛА', 'РЕШОТЫ'];Тепловоз
2002119310;['НОВОКАЧАЛИНСК', 'НОВОЧУГУЕВКА', 'СИБИРЦЕВО', 'ЯРОСЛАВКА-ПРИМОРСКАЯ'];Тепловоз
2002119312;['БОЛЬШОЙ КАМЕНЬ', 'ДУНАЙ', 'МЫС АСТАФЬЕВА', 'НАХОДКА-ВОСТОЧНАЯ', 'СМОЛЯНИНОВО'];Электровоз
2002119317;['БЕСТУЖЕВО', 'ГОРЕЛЫЙ', 'НЕРЮНГРИ-ГРУЗОВАЯ', 'СКОВОРОДИНО', 'ТЫНДА'];Тепловоз
2002119318;['ЗАУДИНСКИЙ', 'НАУШКИ', 'УЛАН-УДЭ'];Тепловоз
2002119320;['БАРАНОВСКИЙ', 'ДУБИНИНСКИЙ', 'МЫС-ЧУРКИН', 'СИБИРЦЕВО', 'СМОЛЯНИНОВО', 'УССУРИЙСК', 'ХАБАРОВСК II'];Электровоз
