Начальная станция; Конечная станция; УП; Вес;
ХОНЫХ-КАМЫШТА; ХОНЫХ — КАМЫШТА;1;
КАМЫШТА-АСКИЗ; КАМЫШТА — АСКИЗ;1;
ХОНЫХ-ОРОСИТЕЛЬНЫЙ; ХОНЫХ — ОРОСИТЕЛЬНЫЙ;1;
ТЕЯ-БИСКАМЖА; ТЕЯ — БИСКАМЖА;1;
ТИСИН-СОН; ТИСИН — СОН;1;
СОН-ТУМАННЫЙ; СОН — ТУМАННЫЙ;1;
ТУМАННЫЙ-ЕРБИНСКАЯ; ТУМАННЫЙ — ЕРБИНСКАЯ;1;
НАХОДКА-ТИХООКЕАНСКАЯ; НАХОДКА — ТИХООКЕАНСКАЯ;1;
ТОКИ-МОНГОХТО; ТОКИ — МОНГОХТО;1;
ТОРЕЯ-ТАЙШЕТ; ТОРЕЯ — ТАЙШЕТ;1;
ТУБИНСКАЯ-ТУШАМА; ТУБИНСКАЯ — ТУШАМА;1;
ТУЛУН-АЗЕЙ; ТУЛУН — АЗЕЙ;1;
АЗЕЙ-КУЙТУН; АЗЕЙ — КУЙТУН;1;
КУЙТУН-ПЕРЕВОЗ; КУЙТУН — ПЕРЕВОЗ;1;
ПЕРЕВОЗ-ЗИМА; ПЕРЕВОЗ — ЗИМА;1;
ТУЛУН-УДА II; ТУЛУН — УДА II;1;
УДА II-НИЖНЕУДИНСК; УДА II — НИЖНЕУДИНСК;1;
ЕРБИНСКАЯ-ОРОСИТЕЛЬНЫЙ; ЕРБИНСКАЯ — ОРОСИТЕЛЬНЫЙ;1;
ОРОСИТЕЛЬНЫЙ-ТИГЕЙ; ОРОСИТЕЛЬНЫЙ — ТИГЕЙ;1;
ТУРМА-ТОРЕЯ; ТУРМА — ТОРЕЯ;1;
ТУШАМА-РУДНОГОРСК; ТУШАМА — РУДНОГОРСК;1;
ТЫНДА-КУВЫКТА; ТЫНДА — КУВЫКТА;30;
КУВЫКТА-ЛОПЧА; КУВЫКТА — ЛОПЧА;1;
ЛОПЧА-ЮКТАЛИ; ЛОПЧА — ЮКТАЛИ;1;
ТЫРМА-ТАЛАНДЖА; ТЫРМА — ТАЛАНДЖА;1;
ТЫРМА-МОШКА; ТЫРМА — МОШКА;1;
ТЫЯ-СЕВЕРОБАЙКАЛЬСК; ТЫЯ — СЕВЕРОБАЙКАЛЬСК;1;
УГОЛЬНАЯ-АМУРСКИЙ ЗАЛИВ; УГОЛЬНАЯ — АМУРСКИЙ ЗАЛИВ;1;
УГОЛЬНАЯ-УГЛОВАЯ; УГОЛЬНАЯ — УГЛОВАЯ;2;
УЖУР-ТИСИН; УЖУР — ТИСИН;1;
УЛАН-УДЭ-МЫСОВАЯ; УЛАН-УДЭ — МЫСОВАЯ;1;
МЫСОВАЯ-БАЙКАЛЬСК; МЫСОВАЯ — БАЙКАЛЬСК;1;
БАЙКАЛЬСК-СЛЮДЯНКА I; БАЙКАЛЬСК — СЛЮДЯНКА I;1;
УЛУЙ-ПРИГОРОДНЫЙ; УЛУЙ — ПРИГОРОДНЫЙ;1;
УРУША-ЕРОФЕЙ ПАВЛОВИЧ; УРУША — ЕРОФЕЙ ПАВЛОВИЧ;1;
УССУРИЙСК-ДУБИНИНСКИЙ; УССУРИЙСК — ДУБИНИНСКИЙ;1;
ДУБИНИНСКИЙ-СИБИРЦЕВО; ДУБИНИНСКИЙ — СИБИРЦЕВО;1;
ДУБИНИНСКИЙ-ВОЗДВИЖЕНСКИЙ; ДУБИНИНСКИЙ — ВОЗДВИЖЕНСКИЙ;2;
УСТЬ-ИЛИМСК-ДИАБАЗОВЫЙ; УСТЬ-ИЛИМСК — ДИАБАЗОВЫЙ;1;
УШМАН-ЯГДЫНЬЯ; УШМАН — ЯГДЫНЬЯ;1;
УЯР-ЗАОЗЕРНАЯ; УЯР — ЗАОЗЕРНАЯ;1;
УЯР-ЗЫКОВО; УЯР — ЗЫКОВО;1;
ЗЫКОВО-КРАСНОЯРСК-ВОСТОЧНЫЙ; ЗЫКОВО — КРАСНОЯРСК-ВОСТОЧНЫЙ;1;
ФЕВРАЛЬСК-ВЕРХНЕЗЕЙСК; ФЕВРАЛЬСК — ВЕРХНЕЗЕЙСК;1;
ХАБАРОВСК II-ХАБАРОВСК I; ХАБАРОВСК II — ХАБАРОВСК I;1;
ХАБЗАС-АСКИЗ; ХАБЗАС — АСКИЗ;1;
ХАНИ-ИКАБЬЯКАН; ХАНИ — ИКАБЬЯКАН;1;
ХАРАНОР-БОРЗЯ; ХАРАНОР — БОРЗЯ;1;
ХАРАНХОЙ-ГУСИНОЕ ОЗЕРО; ХАРАНХОЙ — ГУСИНОЕ ОЗЕРО;1;
ГУСИНОЕ ОЗЕРО-ЗАГУСТАЙ; ГУСИНОЕ ОЗЕРО — ЗАГУСТАЙ;1;
ХАСАН-МАХАЛИНО; ХАСАН — МАХАЛИНО;1;
МАХАЛИНО-ГВОЗДЕВО; МАХАЛИНО — ГВОЗДЕВО;1;
МАХАЛИНО-КАМЫШОВАЯ; МАХАЛИНО — КАМЫШОВАЯ;1;
ГВОЗДЕВО-ПОСЬЕТ; ГВОЗДЕВО — ПОСЬЕТ;1;
ХИЛОК-ЖИПХЕГЕН; ХИЛОК — ЖИПХЕГЕН;1;
ЖИПХЕГЕН-ПЕТРОВСКИЙ ЗАВОД; ЖИПХЕГЕН — ПЕТРОВСКИЙ ЗАВОД;1;
ХМЫЛОВСКИЙ-НАХОДКА; ХМЫЛОВСКИЙ — НАХОДКА;1;
ХОЛОДНЫЙ КЛЮЧ-БУРЕЯ; ХОЛОДНЫЙ КЛЮЧ — БУРЕЯ;1;
ХРЕБТОВАЯ-КОРШУНИХА-АНГАРСКАЯ; ХРЕБТОВАЯ — КОРШУНИХА-АНГАРСКАЯ;1;
ЧЕГДОМЫН-УРГАЛ I; ЧЕГДОМЫН — УРГАЛ I;1;
УРГАЛ I-НОВЫЙ УРГАЛ; УРГАЛ I — НОВЫЙ УРГАЛ;1;
ЧЕЛУТАЙ-ГОРХОН; ЧЕЛУТАЙ — ГОРХОН;1;
ЗАУДИНСКИЙ-ТАЛЬЦЫ; ЗАУДИНСКИЙ — ТАЛЬЦЫ;1;
ЧЕЛУТАЙ-ТАЛЬЦЫ; ЧЕЛУТАЙ — ТАЛЬЦЫ;1;
ЧЕРНОРЕЧЕНСКАЯ-АЧИНСК I; ЧЕРНОРЕЧЕНСКАЯ — АЧИНСК I;1;
ЧЕРНЫШЕВСК-ЗАБАЙКАЛЬСКИЙ-ЖИРЕКЕН; ЧЕРНЫШЕВСК-ЗАБАЙКАЛЬСКИЙ — ЖИРЕКЕН;1;
ЧИТА I-КАДАЛА; ЧИТА I — КАДАЛА;1;
КАДАЛА-ЛЕСНАЯ; КАДАЛА — ЛЕСНАЯ;1;
ЛЕСНАЯ-ГОЛУБИЧНАЯ; ЛЕСНАЯ — ГОЛУБИЧНАЯ;1;
ЧУДНИЧНЫЙ-ЗВЕЗДНАЯ; ЧУДНИЧНЫЙ — ЗВЕЗДНАЯ;1;
ЧУНОЯР-НОВОБИРЮСИНСКАЯ; ЧУНОЯР — НОВОБИРЮСИНСКАЯ;1;
ШАРЫПОВО-БАЗЫР; ШАРЫПОВО — БАЗЫР;1;
ШИЛКА-ПАССАЖИРСКАЯ-ПРИИСКОВАЯ; ШИЛКА-ПАССАЖИРСКАЯ — ПРИИСКОВАЯ;1;
ШИЛКА-ТОВАРНАЯ-ШИЛКА-ПАССАЖИРСКАЯ; ШИЛКА-ТОВАРНАЯ — ШИЛКА-ПАССАЖИРСКАЯ;1;
ШИЛКА-ТОВАРНАЯ-СОЛНЦЕВАЯ; ШИЛКА-ТОВАРНАЯ — СОЛНЦЕВАЯ;1;
ШИМАНОВСКАЯ-УШУМУН; ШИМАНОВСКАЯ — УШУМУН;1;
УШУМУН-МАГДАГАЧИ; УШУМУН — МАГДАГАЧИ;1;
ШКОТОВО-АРТЕМ-ПРИМОРСКИЙ III; ШКОТОВО — АРТЕМ-ПРИМОРСКИЙ III;1;
АРТЕМ-ПРИМОРСКИЙ III-АРТЕМ-ПРИМОРСКИЙ I; АРТЕМ-ПРИМОРСКИЙ III — АРТЕМ-ПРИМОРСКИЙ I;1;
АРТЕМ-ПРИМОРСКИЙ I-УГЛОВАЯ; АРТЕМ-ПРИМОРСКИЙ I — УГЛОВАЯ;1;
УГЛОВАЯ-АМУРСКИЙ ЗАЛИВ; УГЛОВАЯ — АМУРСКИЙ ЗАЛИВ;1;
АМУРСКИЙ ЗАЛИВ-НАДЕЖДИНСКАЯ; АМУРСКИЙ ЗАЛИВ — НАДЕЖДИНСКАЯ;1;
НАДЕЖДИНСКАЯ-БАРАНОВСКИЙ; НАДЕЖДИНСКАЯ — БАРАНОВСКИЙ;1;
БАРАНОВСКИЙ-УССУРИЙСК; БАРАНОВСКИЙ — УССУРИЙСК;1;
ШТУРМ-ТЫНДА; ШТУРМ — ТЫНДА;1;
ШУШЬ-ШАРЫПОВО; ШУШЬ — ШАРЫПОВО;1;
ШУШЬ-КРАСНАЯ СОПКА; ШУШЬ — КРАСНАЯ СОПКА;1;
ЩЕТИНКИНО-САЯНСКАЯ; ЩЕТИНКИНО — САЯНСКАЯ;1;
ЭВОРОН-МОНИ; ЭВОРОН — МОНИ;1;
ЭЛЬДИГАН-СЕЛИХИН; ЭЛЬДИГАН — СЕЛИХИН;1;
ЮКТАЛИ-ОЛЕКМА; ЮКТАЛИ — ОЛЕКМА;1;
ОЛЕКМА-ХАНИ; ОЛЕКМА — ХАНИ;1;
ЮРТЫ-ТАЙШЕТ; ЮРТЫ — ТАЙШЕТ;1;
ЯГДЫНЬЯ-ЭЛЬГА; ЯГДЫНЬЯ — ЭЛЬГА;1;
ЭЛЬГА-АДНИКАН; ЭЛЬГА — АДНИКАН;1;
АДНИКАН-НОВЫЙ УРГАЛ; АДНИКАН — НОВЫЙ УРГАЛ;1;
ИЗВЕСТКОВАЯ-БИРА; ИЗВЕСТКОВАЯ — БИРА;1;
БИРА-БИРОБИДЖАН I; БИРА — БИРОБИДЖАН I;1;
БИРОБИДЖАН I-ВОЛОЧАЕВКА I; БИРОБИДЖАН I — ВОЛОЧАЕВКА I;1;
БИРОБИДЖАН I-БИРОБИДЖАН II; БИРОБИДЖАН I — БИРОБИДЖАН II;1;
БИРОБИДЖАН II-БИРОФЕЛЬД; БИРОБИДЖАН II — БИРОФЕЛЬД;1;
БИРОФЕЛЬД-ЛЕНИНСК; БИРОФЕЛЬД — ЛЕНИНСК;1;
ВОЛОЧАЕВКА I-ТУНГУССКИЙ; ВОЛОЧАЕВКА I — ТУНГУССКИЙ;1;
ТУНГУССКИЙ-ВОЛОЧАЕВКА II; ТУНГУССКИЙ — ВОЛОЧАЕВКА II;2;
ТУНГУССКИЙ-ДЕЖНЕВКА; ТУНГУССКИЙ — ДЕЖНЕВКА;1;
ДЕЖНЕВКА-ПРИАМУРСКАЯ; ДЕЖНЕВКА — ПРИАМУРСКАЯ;1;
ПРИАМУРСКАЯ-ПОСТ-ПОКРОВСКИЙ; ПРИАМУРСКАЯ — ПОСТ-ПОКРОВСКИЙ;1;
ПОСТ-ПОКРОВСКИЙ-АМУР; ПОСТ-ПОКРОВСКИЙ — АМУР;1;
ПОСТ-ПОКРОВСКИЙ-ПОКРОВКА-ПРИСТАНЬ; ПОСТ-ПОКРОВСКИЙ — ПОКРОВКА-ПРИСТАНЬ;1;
АМУР-ХАБАРОВСК I; АМУР — ХАБАРОВСК I;1;
ВОЛОЧАЕВКА II-ДЕЖНЕВКА; ВОЛОЧАЕВКА II — ДЕЖНЕВКА;1;
УРУША-БАМОВСКАЯ; УРУША — БАМОВСКАЯ;1;
БАМОВСКАЯ-ГОРЕЛЫЙ; БАМОВСКАЯ — ГОРЕЛЫЙ;1;
ГОРЕЛЫЙ-СКОВОРОДИНО; ГОРЕЛЫЙ — СКОВОРОДИНО;1;
